Company Common Name,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,Total Assets,Stock,Date
,80.9074034204777,90.9842696441693,87.7779118250694,67.090198808695,1336788000000,DBKGn.DE,2022-12-31
,84.5426576420765,62.5686991203339,91.0153061474062,86.2748510868724,6977700000,SATG_p.DE,2022-12-31
,,,,,138548000000,RWEG.DE,2022-12-31
,62.7577326932226,77.6105967078189,49.2952128856837,53.9855225244219,,RWEG.DE,2023-12-31
,,,,,33170000000,HNKG_p.DE,2022-12-31
,74.5267121590266,72.3448882718776,91.3990821263042,49.7919741373252,,HNKG_p.DE,2023-12-31
,,,,,7626100000,ZALG.DE,2022-12-31
,73.2675847326254,76.2206566842121,63.5609848205177,80.7701173659428,,ZALG.DE,2023-12-31
,,,,,246926000000,BMWG.DE,2022-12-31
,86.7486355726075,91.0774411659111,92.31077436081,71.201771030993,,BMWG.DE,2023-12-31
,,,,,33255600000,HEIG.DE,2022-12-31
,79.6889536159743,85.9286444295965,76.9934915653065,72.5140206620283,,HEIG.DE,2023-12-31
,,,,,9230000000,MTXGn.DE,2022-12-31
,87.3289911818453,82.8470727133829,91.0874748575975,85.7076393281327,,MTXGn.DE,2023-12-31
,,,,,68476000000,DHLn.DE,2022-12-31
,73.1638478968596,73.0650761648746,71.3357531805619,75.9568486892965,,DHLn.DE,2023-12-31
,72.183049683082,74.5486974829526,79.5115466015047,66.0859054691731,62959200000,HNRGn.DE,2022-12-31
