ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,Total Assets,Stock,Date
84.5948942709916,65.6442261741961,86.7960698704258,95.047748672805,32823000000.0,WM.N,2023-12-31
70.0558623331144,62.3895488029008,84.2847121858596,59.4896873193403,18270652000.0,ALB.N,2023-12-31
70.8790657153482,66.7306274423063,62.1330737745832,83.448475180787,47065000000.0,HUM.N,2023-12-31
71.5603060424506,70.5662014786503,83.8669121489107,51.6881035943677,273064000000.0,GM.N,2023-12-31
38.7634965754564,26.6208616298812,46.9895627485649,41.9028764869233,25285098000.0,EQT.N,2023-12-31
82.1201803074937,85.5214298177948,74.4487413982154,88.9545663723221,297258000000.0,STT.N,2023-12-31
73.0955125143194,76.4335280501073,79.0821031250285,69.7499759933289,214574000000.0,FITB.OQ,2023-12-31
69.4700997812334,44.7665056360709,74.3584156929152,72.7017513056269,9010900000.0,DAY.N,2023-12-31
40.393309516976,39.849350358423,56.717447379699,19.8246812856997,5225280000.0,CHRW.OQ,2023-12-31
67.7650478939457,72.5073656098043,72.5572940297943,64.6929567353182,1193693000000.0,MS.N,2023-12-31
76.8581089091237,60.8844114563733,81.5949374824444,91.8388542174031,74008000000.0,OXY.N,2023-12-31
85.2283838955202,88.2935916542474,92.7539735934741,74.8790454800486,55356000000.0,TGT.N,2024-02-03
70.0140920992122,67.7457880985211,54.4548652083545,87.2688320142128,44113258000.0,DLR.N,2023-12-31
88.1793448994917,92.4459573375905,92.7954777000133,75.5104195455705,38570000000.0,MO.N,2023-12-31
79.6963005730012,75.6236444801723,84.8175775314677,74.788833852376,,KR.N,2023-01-28
,,,,50505000000.0,KR.N,2024-02-03
78.2769855005118,77.3961218836565,84.0817545943485,67.7627096342554,6602600000.0,RL.N,2024-03-30
86.8853311247484,85.4173469296318,88.7152168862936,86.3781301068367,57967000000.0,DOW.N,2023-12-31
68.5600075030271,65.8777217320792,52.8498389713937,93.5431124047618,32966000000.0,VST.N,2023-12-31
64.6326187229902,64.4750543179837,66.048043089915,70.2470604020852,48030000000.0,MMC.N,2023-12-31
74.8396113072593,81.658818772339,57.0689507438269,89.7767420768773,16237225000.0,PWR.N,2023-12-31
59.0084386070244,47.3094919786096,39.9115292338184,89.7154436703783,3428068000.0,POOL.OQ,2023-12-31
74.9020388800397,83.274272010877,66.706567645895,79.6602359135032,,SBUX.OQ,2023-10-01
,,,,31339300000.0,SBUX.OQ,2024-09-29
80.7750598267941,81.0109996560776,77.9674112325181,84.1730712997049,87476000000.0,CAT.N,2023-12-31
75.8285758476353,72.5098731677679,86.1857448210288,65.0593244194966,,LH.N,2022-12-31
,,,,16725100000.0,LH.N,2023-12-31
66.8557217037712,70.490601290264,66.7839338417931,61.4038802150564,23261000000.0,IP.N,2023-12-31
71.9035206266201,75.3382550094977,82.5490703455838,61.7487543084659,150783100000.0,NTRS.OQ,2023-12-31
59.7888409160377,66.1245733769155,63.3991230444432,62.0121212121212,33959000000.0,AON.N,2023-12-31
70.4491575227481,46.7745197168857,70.1101467974689,77.8734311938458,21620000000.0,EBAY.OQ,2023-12-31
70.2208462761006,67.7951388888889,68.2315877238615,75.6366025108702,8538260000.0,JBHT.OQ,2023-12-31
86.6746352145326,77.9923061735448,86.7239486336777,99.0384876252384,55506000000.0,NEM.N,2023-12-31
57.7530991604101,68.9030446373076,79.5416215582644,35.7074926249983,,TRMB.OQ,2022-12-30
,,,,9539300000.0,TRMB.OQ,2023-12-29
45.7880198213271,30.4497621990039,65.8193991457156,33.1402538009118,4507886000.0,MTCH.OQ,2023-12-31
67.2302872796303,70.15054309852,56.9410131564257,79.8044129355531,,NWSA.OQ,2023-06-30
,,,,16684000000.0,NWSA.OQ,2024-06-30
65.6467321475331,70.1867832160533,73.1204014560445,50.350182223098,56146800000.0,MCD.N,2023-12-31
57.887168954301,64.5375554537456,42.0427748929888,83.2949295959661,221964000000.0,CFG.N,2023-12-31
78.031752835522,73.6276355743536,71.2799511301293,89.5090812413931,9383737000.0,CPT.N,2023-12-31
70.0962017511037,46.391589994699,74.2212202429201,92.960674796637,10117000000.0,OTIS.N,2023-12-31
63.1240294605222,66.3326869806094,66.8098343794323,53.9166493697464,3135579000.0,DECK.N,2024-03-31
64.0134438019625,78.641781420874,60.0501892472068,49.6263525835405,75501000000.0,PSX.N,2023-12-31
86.7792975214421,93.9793307209655,94.08221643665,61.6848484848485,80811000000.0,LIN.OQ,2023-12-31
31.8638191688157,32.2574819652902,62.9544201273193,9.10900613545723,,BX.N,2022-12-31
,,,,40287530000.0,BX.N,2023-12-31
47.2062647006475,33.1381404667397,74.5486152030375,28.115214246805,2798300000.0,LII.N,2023-12-31
45.8859174856469,27.4340151324278,38.5436106204224,63.8962968165312,6083877000.0,ALGN.OQ,2023-12-31
52.4544249134443,76.7140686892079,53.102524528923,29.6485960920391,21642000000.0,EXPE.OQ,2023-12-31
66.9649356096996,51.1119227593216,84.1096393270237,49.6754133320154,,DIS.N,2023-09-30
,,,,196219000000.0,DIS.N,2024-09-28
80.3547326431864,79.5381310418905,69.4804170346469,91.5172086104939,66027600000.0,AMT.N,2023-12-31
71.4640052425448,72.6251965561906,65.8882008367639,78.8604580537884,26597000000.0,CE.N,2023-12-31
65.3148385310507,55.111871210603,59.755639295922,89.8868419814792,30976100000.0,EVRG.OQ,2023-12-31
69.8753161115749,83.9465826144659,75.0235389311854,56.6618154765969,152761000000.0,CI.N,2023-12-31
63.1827675384611,57.7275285439532,53.7347185035768,85.1951047633788,,NTAP.OQ,2023-04-28
