Total Return,Price Close,Price To Book Value Per Share (Daily Time Series Ratio),Company Market Cap,Stock,Date
0.15895953757226,207.93,11.1841933250561,83445391978.11,WM.N,2024-10-01
-0.293367960371285,207.32,11.1513824852144,83200589933.64,WM.N,2024-10-02
0.853752652903729,209.09,11.2465877090173,83910917177.43,WM.N,2024-10-03
-0.478262948969343,208.09,11.1927994469818,83509602350.43,WM.N,2024-10-04
-1.28790427218992,205.41,11.0486469047264,82434078614.0699,WM.N,2024-10-07
1.59193807506938,208.68,11.2245345215827,83746378098.36,WM.N,2024-10-08
1.70116925436074,212.23,11.415482851809,85171045734.2099,WM.N,2024-10-09
-0.466475050652585,211.24,11.3622324723938,84773744055.48,WM.N,2024-10-10
0.269835258473771,211.81,11.3928917817541,85002493506.87,WM.N,2024-10-11
0.797884896841508,213.5,11.4837939445942,85680715564.5,WM.N,2024-10-14
0.135831381733017,213.79,11.4993925405845,85797096864.33,WM.N,2024-10-15
-0.304036671500073,213.14,11.4644301702614,85536242226.78,WM.N,2024-10-16
-0.028150511400945,213.08,11.4612028745393,85512163337.16,WM.N,2024-10-17
-0.154871409799142,212.75,11.4434527480675,85379729444.25,WM.N,2024-10-18
-0.437132784958875,211.82,11.3934296643744,85006506655.14,WM.N,2024-10-21
-0.363516192994043,211.05,11.352012702607,84697494238.35,WM.N,2024-10-22
0.355366027007818,211.8,11.3923538991337,84998480358.6,WM.N,2024-10-23
-1.36449480642116,208.91,11.2369058218509,83849275170.31,WM.N,2024-10-24
-1.01000430807524,206.8,11.1234125889559,83002393878.8,WM.N,2024-10-25
0.705996131528036,208.26,11.2019434515278,83588387568.66,WM.N,2024-10-28
5.20983386151927,219.11,11.0215161212274,87943203688.51,WM.N,2024-10-29
-1.95792067911096,214.82,10.8057235779384,86221345517.62,WM.N,2024-10-30
0.479471185178289,215.85,10.8575339088446,86634752024.8499,WM.N,2024-10-31
-0.861709520500341,213.99,10.7639735054605,85888212118.59,WM.N,2024-11-01
0.116827889153699,214.24,10.776548828496,85988553503.84,WM.N,2024-11-04
0.765496639283041,215.88,10.8590429476089,86646792991.08,WM.N,2024-11-05
1.20437279970354,218.48,10.989826307178,87690343397.68,WM.N,2024-11-06
0.897107286708169,220.44,11.0884168397763,88477019858.04,WM.N,2024-11-07
1.6693884957358,224.12,11.2735255948587,89954045048.92,WM.N,2024-11-08
-0.223094770658576,223.62,11.2483749487877,89753362278.42,WM.N,2024-11-11
0.518737143368212,224.78,11.3067244476724,90218946305.98,WM.N,2024-11-12
0.400391493905154,225.68,11.3519956106002,90580175292.88,WM.N,2024-11-13
-1.75469691598724,221.72,11.152802493718,88990767750.52,WM.N,2024-11-14
-1.72289373985206,217.9,10.9606515577357,87457551383.9,WM.N,2024-11-15
0.188159706287286,218.31,10.9812750875139,87622111255.71,WM.N,2024-11-18
0.338967523246763,219.05,11.0184980436989,87919121756.05,WM.N,2024-11-19
-0.123259529787724,218.78,11.0049166948206,87810753059.98,WM.N,2024-11-20
1.2569704726209,221.53,11.143245248211,88914508297.73,WM.N,2024-11-21
1.30004965467431,224.41,11.2881129695799,90070441055.81,WM.N,2024-11-22
0.55256004634375,225.65,11.3504865718359,90568134326.65,WM.N,2024-11-25
0.79769554619986,227.45,11.4410288976915,91290592300.45,WM.N,2024-11-26
0.444053638162242,228.46,11.4918332027549,91695971496.86,WM.N,2024-11-27
-0.105051212466081,228.22,11.4797608926408,91599643767.02,WM.N,2024-11-29
-1.35833844535974,225.12,11.3238268870007,90355410589.92,WM.N,2024-12-02
-0.048862828713581,225.01,11.3182937448651,90311260380.41,WM.N,2024-12-03
0.124438913826053,225.29,11.3323781066648,90423642731.89,WM.N,2024-12-04
-0.550401704469786,224.05,11.2700045044088,89925949461.05,WM.N,2024-12-05
-0.495425128319578,222.19,11.1764441010247,89179409554.79,WM.N,2024-12-06
-2.12430802466358,217.47,10.9390220021146,87284964201.27,WM.N,2024-12-09
-0.639168620959206,216.08,10.8691032060373,86727066099.28,WM.N,2024-12-10
-0.721954831543874,214.52,10.7906331902958,86100935855.32,WM.N,2024-12-11
-0.032630990117482,214.45,10.7871120998458,86072840267.45,WM.N,2024-12-12
-0.582886453718816,213.2,10.7242354846684,85571133341.2,WM.N,2024-12-13
-0.731707317073172,211.64,10.6457654689269,84945003097.2399,WM.N,2024-12-16
-1.24740124740124,209.0,10.5129700576721,83885398069.0,WM.N,2024-12-17
-1.70813397129186,205.43,10.3333944447253,82452523087.63,WM.N,2024-12-18
0.048678381930582,205.53,10.3384245739395,82492659641.73,WM.N,2024-12-19
0.145964092833169,205.83,10.3535149615821,82613069304.03,WM.N,2024-12-20
-0.98625078948647,203.8,10.2514033385339,81798297255.8,WM.N,2024-12-23
0.775269872423937,205.38,10.3308793801182,82432454810.58,WM.N,2024-12-24
-0.175284837861518,205.02,10.3127709149471,82287963215.82,WM.N,2024-12-26
-0.487757291971515,204.02,10.2624696228051,81886597674.82,WM.N,2024-12-27
-0.857759043231056,202.27,10.1744423615566,81184207978.07,WM.N,2024-12-30
-0.237306570425678,201.79,10.1502977413285,80991552518.39,WM.N,2024-12-31
-0.411783338612608,94.32,0.987764106207607,11085734725.1999,ALB.N,2024-10-01
-0.265055131467345,94.07,0.985145986757311,11056351416.4499,ALB.N,2024-10-02
0.255129159136823,94.31,0.987659381429595,11084559392.85,ALB.N,2024-10-03
8.24939030855689,102.09,1.0691352587228,11998967961.15,ALB.N,2024-10-04
2.33127632481144,104.47,1.09405975588962,12278697060.45,ALB.N,2024-10-07
-4.02986503302383,100.26,1.04997062434663,11783882141.1,ALB.N,2024-10-08
1.6556951924995,101.92,1.0673549374966,11978987311.2,ALB.N,2024-10-09
1.0204081632653,102.96,1.07824631440983,12101221875.5999,ALB.N,2024-10-10
-0.912975912975911,102.02,1.06840218527672,11990740634.6999,ALB.N,2024-10-11
-2.37208390511665,99.6,1.04305878899785,11706310206.0,ALB.N,2024-10-14
-3.87550200803213,95.74,1.00263502468529,11252631918.9,ALB.N,2024-10-15
2.62168372675998,98.25,1.02892094396626,11547640338.75,ALB.N,2024-10-16
-3.64376590330789,94.67,0.991429473438021,11126871357.45,ALB.N,2024-10-17
0.496461392204499,95.14,0.996351538004578,11182111977.9,ALB.N,2024-10-18
-1.36640739962161,93.84,0.982737316863039,11029318772.4,ALB.N,2024-10-21
2.79198635976129,96.46,1.01017520870214,11337255848.0999,ALB.N,2024-10-22
-2.59174787476674,93.96,0.983994014199181,11043422760.5999,ALB.N,2024-10-23
1.26649638143892,95.15,0.996456262782589,11183287310.25,ALB.N,2024-10-24
-1.7235943247504,93.51,0.979281399188649,10990532804.85,ALB.N,2024-10-25
4.95134210244893,98.14,1.02776897140813,11534711682.9,ALB.N,2024-10-28
-1.51823925005094,96.65,1.01216497948436,11359587162.75,ALB.N,2024-10-29
-1.16916709777549,95.52,1.00033107956903,11226774607.1999,ALB.N,2024-10-30
-0.827051926298149,94.73,0.992057822106092,11134596313.47,ALB.N,2024-10-31
3.70526760266018,98.24,1.02881621918825,11547162903.3599,ALB.N,2024-11-01
2.37174267100977,100.57,1.053217092465,11821031893.23,ALB.N,2024-11-04
-0.78552252162672,99.78,1.04494383500207,11728175025.42,ALB.N,2024-11-05
-3.20705552214873,96.58,1.01143190603828,11352045940.6199,ALB.N,2024-11-06
3.46862704493685,99.93,1.1469619040697,11745806076.27,ALB.N,2024-11-07
0.910637446212345,100.84,1.15740656866194,11852767784.76,ALB.N,2024-11-08
9.56961523205077,110.49,1.26816592395337,12987032056.1099,ALB.N,2024-11-11
-6.95990587383473,102.8,1.17990276932217,12083146849.1999,ALB.N,2024-11-12
5.2431906614786,108.19,1.2417673211378,12716689276.41,ALB.N,2024-11-13
