Company Common Name,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,Total Assets,Stock,Date
,,,,,,GWRE.N,2014-12-31
,13.2936591517665,0.0,27.9951491349646,4.62214052287582,799947000,GWRE.N,2015-07-31
,13.12235282286,0.0,27.8051614596745,4.41552901023891,916178000,GWRE.N,2016-07-31
,18.1788584560372,0.0,40.9829572196675,3.9956531686113,1078901000,GWRE.N,2017-07-31
,17.7750887598584,0.0,39.922541105521,4.03619809016212,1981433000,GWRE.N,2018-07-31
,17.536509582084,0.0,36.3935190074248,6.55948211822138,2166963000,GWRE.N,2019-07-31
,27.8625207254296,15.3461538461538,43.2726907546988,18.4224302828954,2364852000,GWRE.N,2020-07-31
,45.3575027498755,27.5754342783613,58.8690366015392,39.0898711020705,2321845000,GWRE.N,2021-07-31
,52.7876687501419,38.0841866576927,67.4872069797428,44.5407776801648,2266897000,GWRE.N,2022-07-31
,,,,,2027888000,GWRE.N,2023-07-31
,,,,,9681913000,BRX.N,2014-12-31
,47.7376927830047,36.1910204081633,57.328785819614,52.2038398692811,9498007000,BRX.N,2015-12-31
,48.0420100473424,35.4942842001666,53.837437502026,57.2397610921502,9319685000,BRX.N,2016-12-31
,57.0723064975426,48.0043216019025,46.9746122021579,77.1322351864562,9153926000,BRX.N,2017-12-31
,68.773601786889,61.7062093478609,65.1297948401755,80.4400228212808,8242421000,BRX.N,2018-12-31
,78.7570290413624,70.3538038938736,81.4405448575555,86.0412685304516,8142496000,BRX.N,2019-12-31
,76.3165806290272,67.7931450967339,75.9373622118873,86.616632708351,8342147000,BRX.N,2020-12-31
,78.8987834377108,77.6731643845038,77.3734524713397,81.760788629323,8377393000,BRX.N,2021-12-31
,76.9644299433821,73.3622682969373,74.8359868994031,83.1653233888592,8435930000,BRX.N,2022-12-31
,79.1393564534523,74.1557395027495,75.8489339884338,88.0429173214286,,BRX.N,2023-12-31
,,,,,,CHX.OQ,2014-12-31
,,,,,1983379000,CHX.OQ,2015-12-31
,,,,,1850895000,CHX.OQ,2016-12-31
,,,,,1906615000,CHX.OQ,2017-12-31
,36.5859249507158,20.5769230769231,38.5931354661602,52.4083944037309,1973116000,CHX.OQ,2018-12-31
,35.2285610841643,17.6785714285714,33.299736300394,58.3306802504511,1922825000,CHX.OQ,2019-12-31
,38.341079458687,20.0,35.7383071192053,63.5437430786268,3475776000,CHX.OQ,2020-12-31
,54.6751952176221,42.8648152074058,49.3762911077374,75.5123124871159,3534701000,CHX.OQ,2021-12-31
,74.6754005418656,68.5987686721692,78.1225757049889,76.8621552689582,3387483000,CHX.OQ,2022-12-31
,,,,,1948000000,WTS.N,2014-12-31
,40.4083218886659,7.9668458781362,66.0089712201704,45.7727973111069,1692800000,WTS.N,2015-12-31
,52.2307376035819,36.9903339004225,67.634219496584,50.3235457876593,1763200000,WTS.N,2016-12-31
,61.6757039291311,48.6589997361119,69.4065398597642,67.1597640739244,1736500000,WTS.N,2017-12-31
,62.3509400706917,53.1731344188536,65.6516101344555,69.0367616581848,1653700000,WTS.N,2018-12-31
,69.1484673580417,62.7237119650755,76.9167780377053,66.6730553829314,1723100000,WTS.N,2019-12-31
,64.4940271444718,59.1100511404412,74.7796781740705,57.4691669993902,1738200000,WTS.N,2020-12-31
,75.2114432927382,72.3667759930105,79.0417240859361,73.6031203457742,1855600000,WTS.N,2021-12-31
,74.664646569482,75.0852290021154,87.15502066573,57.783679390797,1930900000,WTS.N,2022-12-31
,74.7937832403,73.5904800936936,85.0336639328825,62.6876986827221,,WTS.N,2023-12-31
,,,,,1096912000,MEDP.OQ,2014-12-31
,6.25589089646353,0.0,16.7020148462354,0.90890522875817,984041000,MEDP.OQ,2015-12-31
,7.88510966055246,0.0,17.2473867595819,4.61177474402731,979105000,MEDP.OQ,2016-12-31
,11.4824330574374,0.0,24.4930943285336,7.2832303820636,950717000,MEDP.OQ,2017-12-31
,13.5557153070022,0.0,35.0074247476315,3.04796802131912,967933000,MEDP.OQ,2018-12-31
,16.9830282365116,0.0,31.4108310709065,15.159715589515,1143071000,MEDP.OQ,2019-12-31
,56.0847420130148,35.9477611940299,83.5907461768106,44.4483698764353,1390677000,MEDP.OQ,2020-12-31
,51.0127700822488,37.3273092369478,80.5387386422864,33.2349726244153,1659935000,MEDP.OQ,2021-12-31
,55.6957696129401,36.120025673941,78.2656916859304,48.1825587946596,1352495000,MEDP.OQ,2022-12-31
,,,,,,RGEN.OQ,2012-12-31
,,,,,,RGEN.OQ,2013-12-31
,,,,,128293234,RGEN.OQ,2014-12-31
,,,,,146237000,RGEN.OQ,2015-12-31
,36.4102133484018,0.0,32.773713628144,58.1897042093288,288913000,RGEN.OQ,2016-12-31
,32.9070885679588,0.0,35.776824959099,44.4852436513384,743519000,RGEN.OQ,2017-12-31
,40.1823373301656,0.0,32.249268011542,69.3793026870975,774621000,RGEN.OQ,2018-12-31
,43.31573307029,8.39843750000001,33.0262959614225,73.158229863101,1400113000,RGEN.OQ,2019-12-31
,71.1017864529946,46.8773933414425,62.594292016906,93.6080375792358,1902887000,RGEN.OQ,2020-12-31
,,,,,2358354000,RGEN.OQ,2021-12-31
,,,,,2524658000,RGEN.OQ,2022-12-31
,,,,,9721100000,LNW.OQ,2014-12-31
,14.503105823926,0.0,20.2034995625547,19.0053104575163,7732200000,LNW.OQ,2015-12-31
,18.0314000018251,0.0,20.0719696969697,31.1988054607509,7087400000,LNW.OQ,2016-12-31
,23.0427119353024,0.0,25.4956088088618,40.1018073667353,7725300000,LNW.OQ,2017-12-31
