ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,Total Assets,Stock,Date
80.211799476246,75.7563212250712,82.6130600794988,81.5962933822887,,IFXGn.DE,2021-09-30
75.8965046442327,76.1679321835572,81.0653255042593,67.0422371779995,26912000000,IFXGn.DE,2022-09-30
,,,,28439000000,IFXGn.DE,2023-09-30
93.047418891677,76.3596749939758,96.9251636631939,94.7145729521811,71169000000,SAPG.DE,2021-12-31
88.6928393378416,76.8682476610735,91.0412998372813,90.279647249942,72159000000,SAPG.DE,2022-12-31
,,,,142309000000,RWEG.DE,2021-12-31
62.634109564176,70.6970164609054,61.0777984856261,50.3515896959851,138548000000,RWEG.DE,2022-12-31
62.7577326932226,77.6105967078189,49.2952128856837,53.9855225244219,,RWEG.DE,2023-12-31
,,,,1202500000,ALTM.N,2021-12-31
,,,,2074200000,ALTM.N,2022-12-31
,,,,32669000000,HNKG_p.DE,2021-12-31
75.6562050696041,72.1681505731301,92.0048419725665,54.1165777055775,33170000000,HNKG_p.DE,2022-12-31
74.5267121590266,72.3448882718776,91.3990821263042,49.7919741373252,,HNKG_p.DE,2023-12-31
70.792591135438,79.1923227575401,71.3377498529474,56.9892614879908,4141364000,ATR.N,2021-12-31
72.9966640340808,76.2648536374888,73.6494038748137,66.8794085787247,4203458000,ATR.N,2022-12-31
,,,,34366558000,FMEG.DE,2021-12-31
84.5099945543275,67.3484848484849,86.5325131579933,90.6637270828499,35754114000,FMEG.DE,2022-12-31
86.5606563515367,68.6354487106453,85.857073819802,96.367559210064,,FMEG.DE,2023-12-31
,,,,63592000000,DHLn.DE,2021-12-31
73.5906305842137,78.9217854735423,74.7029164055958,65.7472731492226,68476000000,DHLn.DE,2022-12-31
73.1638478968596,73.0650761648746,71.3357531805619,75.9568486892965,,DHLn.DE,2023-12-31
73.2803702645998,81.004924649165,78.2124200297458,63.1817126943606,49056000000,SHLG.DE,2022-09-30
70.8963276523092,80.2752682100508,71.6559710480766,65.5192915876028,46684000000,SHLG.DE,2023-09-30
,,,,5835918000,KBH.N,2021-11-30
65.8269087955544,71.0620182133152,74.1049394276254,46.052351895554,6651930000,KBH.N,2022-11-30
65.6825243130021,68.4524506606625,67.5654212744753,58.7240742938242,,KBH.N,2023-11-30
,,,,259831000000,MBGn.DE,2021-12-31
93.268438253013,98.4644560190385,89.1668620945169,92.9894793842345,260015000000,MBGn.DE,2022-12-31
91.6098465461722,97.684902479175,88.2213898643833,88.8839693583527,,MBGn.DE,2023-12-31
,,,,107047000000,AIRG.DE,2021-12-31
82.8896325675237,97.6285288785289,83.4616687893624,71.3056817276277,115944000000,AIRG.DE,2022-12-31
83.6640839130173,97.0800055559414,83.2248836185477,74.6078431372549,,AIRG.DE,2023-12-31
72.6330428405207,80.6956577171107,68.3748398513086,77.5586444036483,222919300000,DB1Gn.DE,2021-12-31
71.1761758379732,78.0133700911888,64.8376315153292,78.193122921018,268903500000,DB1Gn.DE,2022-12-31
,,,,7089000000,FLR.N,2021-12-31
75.1956286308006,82.687234056503,70.6875151709569,70.9861556927145,6827000000,FLR.N,2022-12-31
73.8742564507784,81.797419659855,71.0222265049815,66.7112914389473,,FLR.N,2023-12-31
40.352629713084,14.9477188596702,59.8255344526063,31.2157037520687,2541310000,DT.N,2022-03-31
49.2044311625985,38.375249455733,61.3863270729809,41.9932129351962,2765347000,DT.N,2023-03-31
,,,,16046236000,IBOC.OQ,2021-12-31
37.7723049836781,15.8922558922559,28.9639085998678,65.0172397726214,15501476000,IBOC.OQ,2022-12-31
42.4779353467588,14.0748369378647,31.5549617238998,74.5185398102903,,IBOC.OQ,2023-12-31
52.155032699533,24.1201752210927,41.6161771657461,78.8190880792973,2790918000,OPCH.OQ,2021-12-31
